No.,Music(Eng),Music(JPN),Other name,Artist(Eng),Artist(JPN),BPM,Category,Version,Requirement,Easy,Basic,Advanced,Expert,Master,Re:Master,Add Date,Later Add Date,Rec. video,Memo,↓,Music(Eng),Music(JPN),Other name,Artist(Eng),Artist(JPN),BPM,Category,Version,Requirement,Easy,Basic,Advanced,Expert,Master,Re:Master,Add Date,Later Add Date,Memo,↑
1,-,Deep in Abyss,-,-,リコ（CV：富田美憂）、レグ（CV：伊瀬茉莉也）,135,POPS&アニメ,maimai FiNALE,-,1,4,6,8+,11+,-,22-Mar-2019,-,-,Japan only,,VICTORY,VICTORY,-,EXILE,EXILE,130,POPS,maimai GreeN PLUS,-,2,4,6,7,9,-,17-Jun-2014,-,Removed(maimai ORANGE PLUS),
2,true my heart -Lovable mix-,true my heart -Lovable mix-,-,ave;new feat.Saori Sakura,ave;new feat.佐倉紗織,135,POPS&アニメ,maimai FiNALE,-,1,4,6,8+,11,-,22-Mar-2019,-,-,-,,Choo Choo Train,Choo Choo Train,-,EXILE [PV],EXILE [PV],115,POPS,maimai GreeN,-,2,4,6,8,10,-,11-Jul-2013,-,Removed(maimai ORANGE PLUS),
3,Gacha Gacha Cute Figu@mate,ガチャガチャきゅ～と・ふぃぎゅ@メイト,-,MOSAIC.WAV,MOSAIC.WAV,178,POPS&アニメ,maimai FiNALE,-,3,5,7,9+,11+,-,22-Mar-2019,-,-,-,,Heavy Rotation,ヘビーローテーション,-,AKB48 [PV],AKB48 [PV],178,POPS,maimai,-,1,4,6,7,9,-,11-Jul-2012,-,Removed(maimai ORANGE PLUS),
4,lovette jewelry angel break,ラブって♡ジュエリー♪えんじぇる☆ブレイク！！,Love tte♥Jewelry♪Angel☆Break!!,"ave;new project feat. Meguru Amutsuki & Sumire Kisaragi ""Twin Angel BREAK""",あべにゅうぷろじぇくと feat.天月めぐる＆如月すみれ「ツインエンジェルBREAK」,238,POPS&アニメ,maimai FiNALE,-,3,4,7+,10,12,-,22-Mar-2019,-,-,-,,LOVE & JOY,LOVE & JOY,-,木村由姫 [cover],木村由姫 [cover],173,POPS,maimai,-,3,5,7,8,9,-,11-Jul-2012,-,Removed(maimai ORANGE PLUS),
5,-,NOISY LOVE POWER☆,-,-,大橋彩香,140,POPS&アニメ,maimai FiNALE,-,2,4,6,9+,10+,12,13-Dec-2018,-,-,Japan only,,"Everyday, Katyusha",Everyday、カチューシャ,-,AKB48 [PV],AKB48 [PV],172,POPS,maimai,-,3,4,6,8,8,-,11-Jul-2012,-,Removed(maimai ORANGE PLUS),
6,NE!KO!,ネ！コ！,-,"Patricia Of End / Michi Kuroki / Shachi Yuri / Yuki Asuhara ""Nora to Oujo to Noraneko Heart""",パトリシア・オブ・エンド・黒木未知・夕莉シャチ・明日原ユウキ「ノラと皇女と野良猫ハート」,182,POPS&アニメ,maimai FiNALE,-,2,4,7,9,11+,-,13-Dec-2018,-,Yes,-,,JOYFUL,じょいふる,-,いきものがかり [cover],いきものがかり [cover],159,POPS,maimai,-,2,5,6,7,8,-,11-Jul-2012,-,Removed(maimai ORANGE PLUS),
7,-,SHINY DAYS,-,-,亜咲花,110,POPS&アニメ,maimai FiNALE,-,1,3,5,7+,11,-,13-Dec-2018,-,-,Japan only,,CAN'T GET BACK,CAN'T GET BACK,-,w-inds. [PV],w-inds. [PV],140,POPS,maimai,-,2,4,6,8,9,-,11-Jul-2012,-,Removed(maimai ORANGE PLUS),
8,-,only my railgun,-,-,fripSide,143,POPS&アニメ,maimai FiNALE,-,2,4,6,9,10+,11+,13-Dec-2018,-,-,Japan only,,Identity,アイデンティティ,-,サカナクション [cover],サカナクション [cover],140,POPS,maimai,-,3,5,7,8,9,-,11-Jul-2012,-,Removed(maimai ORANGE PLUS),
9,Zenzenzense,前前前世,-,RADWIMPS,RADWIMPS,190,POPS&アニメ,maimai MURASAKi PLUS,-,2,4,6,8,11+,-,22-Jun-2017,-,-,-,,PON PON PON,PON PON PON,-,Kyarypamyupamyu / きゃりーぱみゅぱみゅ [PV],Kyarypamyupamyu / きゃりーぱみゅぱみゅ [PV],128,POPS,maimai,-,2,5,7,8,9,-,11-Jul-2012,-,Removed(maimai ORANGE PLUS),
10,Sugar Song and Bitter Step,シュガーソングとビターステップ,-,UNISON SQUARE GARDEN,UNISON SQUARE GARDEN,132,POPS&アニメ,maimai PiNK PLUS,-,2,5,7,8,11+,-,30-Jun-2016,-,-,-,,New World,New World,-,w-inds. [PV],w-inds. [PV],127,POPS,maimai,-,2,5,6,7,9,-,11-Jul-2012,-,Removed(maimai ORANGE PLUS),
